央视,#genre#
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.124/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.124/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.217/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.219/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.116/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.118/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225920/01.m3u8?fmt=ts2hls
CCTV-1HD,http://39.136.34.120/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225957/01.m3u8?fmt=ts2hls
CCTV-1HD,http://38.75.136.137:82/live1/dsdq.m3u8?id=cctv1hd&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb1.m3u8?id=cctv1hd&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://39.134.168.76/PLTV/1/224/3221225510/index.m3u8
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus08&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus30&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus12&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus02&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus03&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus05&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus15&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus14&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=opfr02&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus06&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus22&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus17&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus10&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus18&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus19&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-1HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv1hd&ip=whus20&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-2HD,http://111.56.121.176/050000001888/5000000188800000013/index.m3u8?stbId=nil&channel-id=yinhe_live&Contentid=5000000188800000013
CCTV-2HD,http://38.75.136.137:82/live1/cctv2.m3u8?id=cctv2hd&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-2HD,http://111.56.121.176/050000001888/5000000188800000110/index.m3u8?stbId=nil&channel-id=yinhe_live&Contentid=5000000188800000110
CCTV-2HD,http://38.75.136.137:82/live1/jsb.m3u8?id=cctv2hd&usign=X2titIGzYm9iZjGtuvCYkg
CCTV-2HD,http://39.136.34.122/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls
CCTV-2HD,http://39.136.34.124/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls
CCTV-2HD,http://39.136.34.124/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls
CCTV-2HD,http://39.136.34.114/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225918/01.m3u8?fmt=ts2hls
