央视,#genre#
CCTV1,http://39.136.35.159:8006/050000001888/5000000188800000011/index.m3u8
CCTV1,http://39.136.35.159:8006/050000001888/5000000188800000108/index.m3u8
CCTV2,http://39.136.35.159:8006/050000001888/5000000188800000013/index.m3u8
CCTV2,http://39.136.35.159:8006/050000001888/5000000188800000110/index.m3u8
CCTV3,http://39.136.35.159:8006/050000001888/5000000188800000015/index.m3u8
CCTV3,http://39.136.35.159:8006/050000001888/5000000188800000111/index.m3u8
CCTV4,http://39.136.35.159:8006/050000001888/5000000188800000017/index.m3u8
CCTV4,http://39.136.35.159:8006/050000001888/5000000188800000112/index.m3u8
CCTV5,http://39.136.35.159:8006/050000001888/5000000188800000020/index.m3u8
CCTV5,http://39.136.35.159:8006/050000001888/5000000188800000113/index.m3u8
CCTV5+,http://39.136.35.159:8006/050000001888/5000000188800000018/index.m3u8
CCTV5+,http://39.136.35.159:8006/050000001888/5000000188800000120/index.m3u8
CCTV6,http://39.136.35.159:8006/050000001888/5000000188800000022/index.m3u8
CCTV6,http://39.136.35.159:8006/050000001888/5000000188800000114/index.m3u8
CCTV7,http://39.136.35.159:8006/050000001888/5000000188800000024/index.m3u8
CCTV7,http://39.136.35.159:8006/050000001888/5000000188800000115/index.m3u8
CCTV8,http://39.136.35.159:8006/050000001888/5000000188800000026/index.m3u8
CCTV8,http://39.136.35.159:8006/050000001888/5000000188800000116/index.m3u8
CCTV9,http://39.136.35.159:8006/050000001888/5000000188800000028/index.m3u8
CCTV9,http://39.136.35.159:8006/050000001888/5000000188800000117/index.m3u8
CCTV10,http://39.136.35.159:8006/050000001888/5000000188800000118/index.m3u8
CCTV11,http://39.136.35.159:8006/050000001888/5000000188800000100/index.m3u8
CCTV12,http://39.136.35.159:8006/050000001888/5000000188800000119/index.m3u8
CCTV13,http://39.136.35.159:8006/050000001888/5000000188800000101/index.m3u8
CCTV16,http://39.136.35.159:8006/050000001888/5000000188800000097/index.m3u8
CCTV17,http://39.136.35.159:8006/050000001888/5000000188800000084/index.m3u8
CCTV第一剧场,http://39.136.35.159:8006/050000001888/5000000188800000155/index.m3u8
CCTV世界地理,http://39.136.35.159:8006/050000001888/5000000188800000156/index.m3u8
CCTV风云剧场,http://39.136.35.159:8006/050000001888/5000000188800000157/index.m3u8
CCTV风云音乐,http://39.136.35.159:8006/050000001888/5000000188800000158/index.m3u8
CCTV风云足球,http://39.136.35.159:8006/050000001888/5000000188800000159/index.m3u8
CCTV高尔夫网球,http://39.136.35.159:8006/050000001888/5000000188800000183/index.m3u8
CCTV怀旧剧场,http://39.136.35.159:8006/050000001888/5000000188800000192/index.m3u8
CCTV央视文化精品,http://39.136.35.159:8006/050000001888/5000000188800000160/index.m3u8
CCTV女性时尚,http://39.136.35.159:8006/050000001888/5000000188800000161/index.m3u8
CCTV央视台球,http://39.136.35.159:8006/050000001888/5000000188800000162/index.m3u8
