央视,#genre#
CCTV1,rtsp://10.11.43.21/PLTV/88888912/224/3221226446/10000100000000060000000000870185_0.smil
CCTV1,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000152/1.m3u8
CCTV2,rtsp://10.11.43.21/PLTV/88888912/224/3221226445/10000100000000060000000000870187_0.smil
CCTV2,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000477/1.m3u8
CCTV3,rtsp://10.11.43.21/PLTV/88888912/224/3221226422/10000100000000060000000000808184_0.smil
CCTV3,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000646/1.m3u8
CCTV4,rtsp://10.11.43.21/PLTV/88888912/224/3221226450/10000100000000060000000000870191_0.smil
CCTV4,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000573/1.m3u8
CCTV5,rtsp://10.11.43.21/PLTV/88888912/224/3221226423/10000100000000060000000000808427_0.smil
CCTV5,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000648/1.m3u8
CCTV5+,rtsp://10.11.43.21/PLTV/88888912/224/3221226077/10000100000000060000000000662662_0.smil
CCTV5+,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000153/1.m3u8
CCTV6,rtsp://10.11.43.21/PLTV/88888912/224/3221226426/10000100000000060000000000808425_0.smil
CCTV6,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000650/1.m3u8
CCTV7,rtsp://10.11.43.21/PLTV/88888912/224/3221226452/10000100000000060000000000870192_0.smil
CCTV7,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000485/1.m3u8
CCTV8,rtsp://10.11.43.21/PLTV/88888912/224/3221226444/10000100000000060000000000808423_0.smil
CCTV8,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000652/1.m3u8
CCTV9,rtsp://10.11.43.21/PLTV/88888912/224/3221226443/10000100000000060000000000870186_0.smil
CCTV9,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000478/1.m3u8
CCTV10,rtsp://10.11.43.21/PLTV/88888912/224/3221226454/10000100000000060000000000870188_0.smil
CCTV10,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000480/1.m3u8
CCTV11,rtsp://10.11.43.21/PLTV/88888912/224/3221226102/10000100000000060000000000719622_0.smil
CCTV11,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000583/1.m3u8
CCTV12,rtsp://10.11.43.21/PLTV/88888912/224/3221226447/10000100000000060000000000870190_0.smil
CCTV12,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000482/1.m3u8
CCTV13,rtsp://10.11.43.21/PLTV/88888912/224/3221226678/382484600.smil
CCTV13,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000602/1.m3u8
CCTV14,rtsp://10.11.43.21/PLTV/88888912/224/3221226456/10000100000000060000000000870189_0.smil
CCTV14,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000483/1.m3u8
CCTV15,rtsp://10.11.43.21/PLTV/88888912/224/3221226103/10000100000000060000000000719621_0.smil
CCTV15,http://10.13.32.101:8006/nmgd_hls/00000001000000050000000000000587/1.m3u8
CCTV16,http://10.13.32.101:8006/nmgd_hls/04710001000000050000000000000770/1.m3u8
CCTV16-4K,rtsp://10.11.43.21/PLTV/88888912/224/3221226643/411164633.smil
